,date,arrondissement,auteur,etoile,education,securite,loisir,viePratique,environnement,commentaire
0,03/10/2021,01,cec,1.4,2,2,2,2,1,"Trop de bouchons, circulation impossible. en vélo trop dangereux. se déplacer devient un enfer. nord sud ou est ouest.
insécurité dans les transports, même dans les rues.
rats dans les parcs.
rues sales. "
1,06/03/2022,01,Brigitte,3,1,3,4,4,2,"Beaucoup Trop de pollution  

Embouteillages à gogo 

On sécurité 

L’es loyer hors de prix                                                             "
2,06/03/2022,01,Nolwenn ,2.6,0,2,4,4,1,"Aspects positifs f : Le metro, les beaux quartiers. 
Aspects négatifs : le nombre de voiture, la pollution, les vols et le manque d'espace pour se balader à pied. "
3,25/02/2022,01,Oceane,4,4,4,4,4,4,Je pense que les grandes villes et les personne qu’il y habite fasse plus attention à l’environnement comme au autre personnes qui les entoure en campagne nous avons la chance d’avoir de l’air pur et que chacun s’inquiète pour c’est voisin ?
4,23/02/2022,01,DELPIETRO ,2.8,0,2,4,4,3,Il fait bon de vivre à Paris EN PLUS DE L'absence totale de pollution même s'il fait un peu morose.  C'est très apaisant et le voisinage est cool même avec leurs enfants respectifs
5,15/02/2022,01,Jenny,3,0,2,4,4,3,"Insécurité dans les rues et métro rer. Beaucoup de métro et bus a des heures tardifs très pratique. Beaucoup de sport et loisirs manque les parcs et air de jeu pour enfant 
"
6,10/02/2022,01,Cath,3.2,3,2,5,5,1,"Ville très attractive, pleins de choses à faire. Beaucoup de commerces très intéressants, mais la circulation en voiture est difficile et peu pratique !"
7,19/01/2022,01,ilham,3.8,0,3,5,5,3,"Les points positifs : 
Bon vivre - présence de commodités et parcs pour enfants       

Les points négatifs : 
manque de transport 
Manque d'animation"
8,15/01/2022,01,somatom,2.8,0,2,3,3,3,"Beau quartier hyper central, bien desservi par les transports. Nombreux commerces. Trop de dégradations et de saleté dans certaines rues. Insécurité aux Halles. "
9,14/01/2022,01,Eléb1,3.6,4,3,4,4,3,"Paris est une ville ou il y a globalement beaucoup d'activités à faire, beaucoup de travail et d'opportunités mais ou l'ambiance générale au quotidien peut être stressant et pesant (transports en communs bondés, speed ambiant). La sureté de la ville dépend grandement des quartiers."
