,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentaires
0,23-09-2020,1e,Parisiendéçu,4.94,6,3,5,5,9,4,6,7,6," De nombreux commerces et transports, étant dans le centre de Paris, cet arrondissement dispose de très nombreuses connexions vers la banlieue et Paris, les déplacements sont donc raccourcis.

- Le patrimoine architectural (Louvre, Palais-Royal) et également le jardin des Tuileries

- Le sympathique quartier asiatique proche de l'Opéra et ses bons restaurants et épiceries."
1,18-08-2020,1e,trustinme,6.94,4,4,7,7,10,7,10,9,4,"lutôt agréable en allant vers l'Ouest, en partant du Conseil d'Etat.
Petits recoins agréables et cachés qu'il faut connaître.
Il est facile de trouver un bus, un métro, nous menant directement à une destination sans ""escale"", c'est un vrai privilège.
Les monuments historiques sont beaux, nous avons la meilleure vue depuis les quais de Seine du Louvre, le point de jonction idéal entre les deux rives.
A pied, on peut déjà visiter beaucoup de choses.
Le Jardin des Tuileries est le meilleur espace vert du quartier.
Les cafés et restaurants, boutiques de la Rue Saint-Honoré, sont historiques, toujours bien entretenus à l'image de ce que l'on essaye de préserver.
La station Louvre-Rivoli ligne 1 est la plus belle de toutes.
Si vous avez la chance d'y vivre, vous n'aurez besoin d'aller nulle part ailleurs."
2,28-10-2019,1e,Rose,3.38,5,3,2,4,8,2,9,7,0,"entral, vie culturelle abondante, commerces partout."
3,21-06-2019,1e,Karelm,8.94,8,9,8,8,10,10,8,5,7,"es transports sont assez faciles entres le métro et les bus, la sécurité pour ma part est présente.
Quartier agréable.
Accès facile aux établissements de santé et aux structures scolaires et pédagogiques."
4,10-04-2019,1e,driragot,9.0,9,7,9,10,10,9,10,10,7,"u centre de tout, et donc tout est accessible. On est aussi accessible des autres ce qui veut dire que les amis ne rechignent pas à s'y déplacer. Imbattable niveau transports, culture et commerces. Et pas si cher que ça pour du Paris intra-muros !"
5,11-09-2018,1e,Piernic,7.69,7,7,6,8,8,8,7,9,7,"ualité de vie en général, transports, commerces, il fait bon vivre dans cet arrondissement. Supprimer airbnb qui est très négatif pour le tissus social local. On regrette aussi l'époque où le commissariat des Halles était ouvert 24H/24 :( ."
6,29-08-2018,1e,Clo,8.38,6,8,9,10,10,8,10,10,7,"n fait tout à pieds: on y trouve tout ce dont on peut avoir besoin au quotidien au delà des commerces, et la proximité avec les autres arrondissements du centre permet d'élargir à prix bas l'offre médicale, sportive, etc, car c'est un tout petit arrondissement après tout. Proximité des théâtres du 2e et du 10e. Ne pas oublier la rénovation des halles avec un grand parc et la proximité des quais de seine, maintenant piétons. Sans oublier les tuileries qui occupent une grande partie de l'arrondissement, et Les Halles qui sont maintenant une aire piétonne unique à Paris, agréable et faisant oublier les voitures. Contrairement à ce qu'on pourrait penser, il est aussi assez facile d'y avoir des enfants car les places en crèche ou en halte garderie y sont plus courantes, et les activités ne manquent pas (activités artistiques... au Louvre, et proximité d'activités dans le 2e arrondissement notamment). Sinon, on rejoint l'ensemble de Paris très rapidement grâce à toutes les lignes de transport."
7,16-10-2016,1e,CedFanel,7.13,6,5,7,7,10,7,10,10,3,"ltra central, la beauté des quartiers, la vie de quartier des Halles, l'abondance des transports en commun et des commerces, vie culturelle, la vie nocturne et les restaurants."
8,21-01-2015,1e,Ere,6.63,5,5,5,5,9,7,8,10,3,"entral, très pratique
Petits commerces de proximité 
Shopping
Proximité de l'ile de la cité et des ponts de Paris pour balades"
9,16-01-2015,1e,Eloli,2.63,7,1,1,4,8,1,7,5,1,ucun point positif. Tous les banlieusards viennent squatter ici
