,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentairePositif,commentaireNegatif
0,Avis posté le 23-09-2020 à 17:03,paris-1er-arrondissement_75101,Parisiendéçu,4.94,6,3,5,5,9,4,6,7,6,"Les points positifs : - De nombreux commerces et transports, étant dans le centre de Paris, cet arrondissement dispose de très nombreuses connexions vers la banlieue et Paris, les déplacements sont donc raccourcis.

- Le patrimoine architectural (Louvre, Palais-Royal) et également le jardin des Tuileries

- Le sympathique quartier asiatique proche de l'Opéra et ses bons restaurants et épiceries.","Les points négatifs : - ""L'ensauvagement"" absolu du quartier des Halles d'où arrivent toutes les raca****s de banlieue. Le jardin jouxtant les Halles est une honte absolue à ce niveau. Pensée émue également au parc d'attraction estival des Tuileries auquel mes grands-parents m'emmenaient étant tout petit et qui me renvoie à tant de souvenirs agréables. Aujourd'hui il est devenu un lieu totalement ensauvagé, malfamé, bruyant et agressif où même moi, masse de muscles d'1m80, je ne me sens pas en sécurité. Une chose est sûre je n'y amènerai pas mes futurs enfants. Quelle tristesse de voir la destruction intégrale de ce lieu (comme tant d'autres) autrefois si agréable."
1,Avis posté le 18-08-2020 à 19:20,paris-1er-arrondissement_75101,trustinme,6.94,4,4,7,7,10,7,10,9,4,"Les points positifs : Plutôt agréable en allant vers l'Ouest, en partant du Conseil d'Etat.
Petits recoins agréables et cachés qu'il faut connaître.
Il est facile de trouver un bus, un métro, nous menant directement à une destination sans ""escale"", c'est un vrai privilège.
Les monuments historiques sont beaux, nous avons la meilleure vue depuis les quais de Seine du Louvre, le point de jonction idéal entre les deux rives.
A pied, on peut déjà visiter beaucoup de choses.
Le Jardin des Tuileries est le meilleur espace vert du quartier.
Les cafés et restaurants, boutiques de la Rue Saint-Honoré, sont historiques, toujours bien entretenus à l'image de ce que l'on essaye de préserver.
La station Louvre-Rivoli ligne 1 est la plus belle de toutes.
Si vous avez la chance d'y vivre, vous n'aurez besoin d'aller nulle part ailleurs.","Les points négatifs : Même dans ce tout petit arrondissement, les disparités sont flagrantes.
Le côté des Halles est répugnant, les lignes de RER facilitent la venue de ces agressifs primates de la savane banlieusarde impatients de dépenser leurs allocs au H&M du Forum et boutiques de contrefaçons miteuses.
Le commissariat, bien en évidence en face de la Canopée, n'y fait plus rien. C'est dire que ces travaux ont bien servi à améliorer la situation. C'est la station RER qu'il faudrait fermer, vous verrez, j'ai raison.
Les rues sont sales. Les SDFs ne sont pas pris en charge. Toujours aux mêmes endroits s'engouffrant d'alcool de chez l'épicier. Dormant à même le sol en plein passage piéton, ivres morts. Du vomi, de la pisse, des tessons de bouteilles.
Je suis en colère que RIEN ne soit fait dans ce quartier historique et touristique, à part des travaux précipités bruyants et boboïsants.
Je vous préviens, messieurs dames de la Mairie (si vous passez par là, et vous en avez intérêt), si vous persistez dans votre incompétence, ce virus va s'étendre de manière fulgurante qu'il ne l'est déjà.
Cette zone du 1er arrondissement est une déchetterie humaine.
Bien sûr, j'exagère (un peu) pour faire réagir, il y a pire à Barbès, mais voyez que cette nuisance prend de l'ampleur dans tout Paris voire même la France entière. Dommage."
2,Avis posté le 28-10-2019 à 11:14,paris-1er-arrondissement_75101,Rose,3.38,5,3,2,4,8,2,9,7,0,"Les points positifs : Central, vie culturelle abondante, commerces partout.","Les points négatifs : Quartier de passage étant donné la proximité du RER. Les gens viennent au ciné, boire un verre ou acheter des vêtements et s'en vont. Les locaux (y en a peu) ne sont pas du tout sympathiques. Bruit constant matin soir, nuit. Saleté des rues étant donné le passage. Délinquance à maîtriser. Et surtout ce qui marque, c'est la pollution, abondante et intense. Ajoutez y le bruit est c'est la formule parfaite pour devenir dingue."
3,Avis posté le 21-06-2019 à 00:00,paris-1er-arrondissement_75101,Karelm,8.94,8,9,8,8,10,10,8,5,7,"Les points positifs : Les transports sont assez faciles entres le métro et les bus, la sécurité pour ma part est présente.
Quartier agréable.
Accès facile aux établissements de santé et aux structures scolaires et pédagogiques.","Les points négatifs : Problème si vous prenez la voiture, sinon trop peu de commerces.
Assez de pollution."
4,Avis posté le 10-04-2019 à 18:59,paris-1er-arrondissement_75101,driragot,9.00,9,7,9,10,10,9,10,10,7,"Les points positifs : Au centre de tout, et donc tout est accessible. On est aussi accessible des autres ce qui veut dire que les amis ne rechignent pas à s'y déplacer. Imbattable niveau transports, culture et commerces. Et pas si cher que ça pour du Paris intra-muros !",Les points négatifs : Beaucoup d'endroits sales à cause des fêtards. Le sentiment de toujours cotoyer des personnes qui n'habitent pas là.
5,Avis posté le 11-09-2018 à 17:36,paris-1er-arrondissement_75101,Piernic,7.69,7,7,6,8,8,8,7,9,7,"Les points positifs : Qualité de vie en général, transports, commerces, il fait bon vivre dans cet arrondissement. Supprimer airbnb qui est très négatif pour le tissus social local. On regrette aussi l'époque où le commissariat des Halles était ouvert 24H/24 :( .",Les points négatifs : Difficile de pratiquer une activité sportive!
6,Avis posté le 29-08-2018 à 20:40,paris-1er-arrondissement_75101,Clo,8.38,6,8,9,10,10,8,10,10,7,"Les points positifs : On fait tout à pieds: on y trouve tout ce dont on peut avoir besoin au quotidien au delà des commerces, et la proximité avec les autres arrondissements du centre permet d'élargir à prix bas l'offre médicale, sportive, etc, car c'est un tout petit arrondissement après tout. Proximité des théâtres du 2e et du 10e. Ne pas oublier la rénovation des halles avec un grand parc et la proximité des quais de seine, maintenant piétons. Sans oublier les tuileries qui occupent une grande partie de l'arrondissement, et Les Halles qui sont maintenant une aire piétonne unique à Paris, agréable et faisant oublier les voitures. Contrairement à ce qu'on pourrait penser, il est aussi assez facile d'y avoir des enfants car les places en crèche ou en halte garderie y sont plus courantes, et les activités ne manquent pas (activités artistiques... au Louvre, et proximité d'activités dans le 2e arrondissement notamment). Sinon, on rejoint l'ensemble de Paris très rapidement grâce à toutes les lignes de transport.","Les points négatifs : Les prix de l'immobilier bien sûr.
Il faut aimer voir du monde, mais si on a des horaires décalés, on arrive quand même à avoir le quartier pour soi le matin."
7,Avis posté le 16-10-2016 à 22:56,paris-1er-arrondissement_75101,CedFanel,7.13,6,5,7,7,10,7,10,10,3,"Les points positifs : Ultra central, la beauté des quartiers, la vie de quartier des Halles, l'abondance des transports en commun et des commerces, vie culturelle, la vie nocturne et les restaurants.","Les points négatifs : Peu de parcs et d'écoles, l'insécurité des Halles et de Châtelet la nuit, très peu de recyclage mis place, manque de verdure en général, places pour stationner très rares."
8,Avis posté le 21-01-2015 à 22:48,paris-1er-arrondissement_75101,Ere,6.63,5,5,5,5,9,7,8,10,3,"Les points positifs : Central, très pratique
Petits commerces de proximité 
Shopping
Proximité de l'ile de la cité et des ponts de Paris pour balades","Les points négatifs : Travaux des halles
Vols en terrasses
Cout de la vie et prix de l'immobilier"
9,Avis posté le 16-01-2015 à 19:49,paris-1er-arrondissement_75101,Eloli,2.63,7,1,1,4,8,1,7,5,1,Les points positifs : Aucun point positif. Tous les banlieusards viennent squatter ici,"Les points négatifs : Insécurité. Tout à l'heure une femme est venue m'agresser dans un magasin car je regardais trop son mari (soit-disant) : je suis lesbienne. En même temps, faut peut-être pas ramener son mari dans un magasin ou il y a de jeunes et jolies femmes (M.... pour le nom). Les parisiens."
